course_code,course_name
AG31003,LAND AND WATER RESOURCES ENGINEERING
CH61015,ADVANCED MATHEMATICAL TECHNIQUES IN CHEMICAL ENGINEERING
EM49207,ECONOMIC DECISIONS LAB
IE39001,INSTRUMENTATION DEVICES LABORATORY
IM21202,MANAGEMENT OF INVENTORY SYSTEMS
PH39204,NUCLEAR PHYSICS LAB
AE29204,STRUCTURES LABORATORY - I
AE31008,THEORY OF JET PROPULSION
AR20205,BUILDING CONSTRUCTION
MI20201,DEVELOPMENT OF MINERAL DEPOSITS
MT39005,HEAT TREATMENT OF MATERIALS LAB.
PH29201,GENERAL PROPERTIES OF MATTER LABORATORY
CY41214,STRUCTURE AND FUNCTION OF BIOMOLECULES
MA39203,DESIGN AND ANALYSIS OF ALGORITHMS LAB
ME67324,PROJECT - 3
PH62002,COMPUTATIONAL METHODS FOR MATERIALS DESIGN
GG39203,PALEONTOLOGY LABORATORY
GG39204,ECONOMIC GEOLOGY LAB
IP60110,ENVIRONMENTAL LAW
PH20202,MATHEMATICAL METHODS I
EC48201,SUMMER INTERNSHIP
GG21203,PALEONTOLOGY
IM49003,PRODUCT DEVELOPMENT LABORATORY
MA30206,MATHEMATICAL MODELLING
SD11007,PRINCIPLES OF MACROECONOMICS - I
MA69204,STATISTICS SOFTWARE LAB
ME21205,DYNAMICS
NA40010,OFFSHORE TECHNOLOGY
CE60037,STRENGTH AND DEFORMATION CHARACTERISTICS OF SOILS
GG49201,STATIONARY FIELD AND ELECTRICAL METHODS LABORATORY
RE69003,RELIABILITY TESTING LABORATORY
AI61005,ARTIFICIAL INTELLIGENCE: FOUNDATIONS AND APPLICATIONS
EE68321,SUMMER INTERNSHIP
EE69205,SIGNAL PROCESSING SYSTEMS DESIGN LABORATORY
IM21008,WORK SYSTEM DESIGN
PH29202,THERMAL PHYSICS LABORATORY
CS19003,PROGAMMING AND DATA STRUCTURES LABORATORY
EC69218,ANTENNA AND EMI/EMC LABORATORY
EE68121,SUMMER INTERNSHIP
GG31004,SEDIMENTOLOGY
HS21202,MICROECONOMICS II
MM69324,SEMINAR I
MT60001,THERMODYNAMICS OF ENGINEERING MATERIALS
AG68521,SUMMER INTERNSHIP
AR60223,CULTURAL SYSTEMS AND ALTERNATIVE CONCEPTS
CE60223,THEORY OF ELASTICITY
EP68021,SUMMER INTERNSHIP
HS49207,ECONOMIC DECISIONS LAB
IM37004,DESIGN FOR MANUFACTURABILITY AND ASSEMBLY PROJECT
CE39011,W AND W.W. ENGINEERING LABORATORY
EC31005,RF AND MICROWAVE ENGINEERING
EE60102,STATISTICAL SIGNAL PROCESSING
HS31201,PUBLIC FINANCE
MI60009,FUNDAMENTALS AND APPLIED GEOMECHANICS
NA69045,SEMINAR
SD19001,ART EDUCATION AND CREATIVE EXPRESSIONS - I
EC60305,ACTIVE AND PASSIVE RF COMPONENTS
EE21202,MEASUREMENT AND ELECTRONIC INSTRUMENTS
HS60010,INDUSTRIAL RELATIONS
IM61204,SYSTEMS MODELLING AND DATA ANALYTICS
MM60024,BIOMEDICAL IMAGING INFORMATICS
MT21204,TRANSPORT PHENOMENA IN METALLURGICAL PROCESSES
CS58201,SUMMER INTERNSHIP
ES61002,SOLAR PHOTOVOLTAIC TECHNOLOGIES AND SYSTEMS
NA49005,MARINE STRUCTURAL LABORATORY
AG60031,PLANT METABOLITES AND SEPARATION TECHNOLOGY
EC69216,VLSI DESIGN LABORATORY
IP60115,ADMINISTRATIVE LAW
IP60127,ALTERNATE DISPUTE RESOLUTION
MI69004,GEOMECHANICS LAB.
NA30203,RESISTANCE
IM60021,PRODUCTION PLANNING AND INVENTORY CONTROL
IP60111,FAMILY LAW
AE51001,ADVANCED VISCOUS FLOW THEORY
AR10301,INTRODUCTION TO ARCHITECTURE
AR13301,BASIC DESIGN 1
BS49002,CELL BIOLOGY LABORATORY
CL61205,GEOPHYSICAL FLUID DYNAMICS
EX58202,GEOPHYSICAL FIELD WORK II
MM71326,HEALTHCARE MANAGEMENT
AG60188,DESIGN OF AQUACULTURAL FACILITIES AND EQUIPMENT
AR29201,BUILDING CONSTRUCTION SESSIONAL I
CE39204,WATER RESOURCES AND GEOTECHNICAL ENGINEERING SESSIONAL
CH21207,FLUID MECHANICS
MA30231,FUNCTIONAL ANALYSIS
PH29204,OPTICS LABORATORY
CY29202,ORGANIC CHEMISTRY LABORATORY I
IM21002,PRODUCTION DESIGN AND PROCESS PLANNING
ME21201,FLUID MECHANICS
MS69008,MATERIALS CHARACTERIZATION LABORATORY
MT21203,METALLURGICAL THERMODYNAMICS AND KINETICS
PH39209,COMPUTATIONAL PHYSICS LAB
CE39203,GEOTECHNICAL ENGINEERING LABORATORY
CH58201,SUMMER INTERNSHIP
HS21204,MACROECONOMICS II
ME39201,"CASTING, FORMING AND WELDING LAB"
AR60207,BASIC QUANTITATIVE METHODS IN PLANNING
GG29202,STRUCTURAL GEOLOGY LABORATORY
GG60212,TECTONICS AND GEODYNAMICS
IE49002,INSTRUMENTATION SYSTEM DESIGN
MA60259,COMPUTER ORGANISATION AND ARCHITECTURE
RT60004,INDUSTRIAL RUBBER  II
CY39003,ORGANIC CHEMISTRY LABORATORY II
EE39006,POWER ELECTRONICS LAB.
EE39201,INSTRUMENTATION SYSTEM DESIGN-1
GG40243,COAL AND PETROLEUM GEOLOGY
ME67224,PROJECT - 3
MI60072,ADVANCED SAFETY ENGINEERING
RE61001,QUALITY CONTROL AND ANALYSIS
CE69091,CAD AND VISUALISATION
EA19003,EXTRA ACADEMIC ACTIVITY-III
GG30211,GEOCHEMISTRY
MA49210,STATISTICAL LAB
MI31204,MINERAL ECONOMICS AND BUSINESS
MT41013,CORROSION AND ENVIRONMENTAL DEGRADATION OF MATERIALS
CY20206,REAGENTS AND REACTIVITY
EE69002,SEMINAR-II
IP69101,MOOT COURT
MA49204,NUMERICAL ANALYSIS LAB
MA69045,SEMINAR
SE69001,SEMINAR
CR69003,CRYOGENIC SYSTEMS LABORATORY
MA58007,SUMMER TRAINING
MI61009,ENVIRONMENTAL ENGINEERING AND MANAGEMENT
MM59005,NUCLEAR IMAGING AND THERAPY LABORATORY
RE61008,ROBUST DESIGN FOR QUALITY
AR60044,REMOTE SENSING AND GIS IN PLANNING
EC21202,DIGITAL ELECTRONIC CIRCUITS
